epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63E+12,2021-09-29T13.36.30.852,0,-0.626,0.683,0.486
1.63E+12,2021-09-29T13.36.30.858,0.006,-0.63,0.69,0.489
1.63E+12,2021-09-29T13.36.30.863,0.011,-0.627,0.69,0.489
1.63E+12,2021-09-29T13.36.30.869,0.017,-0.628,0.688,0.489
1.63E+12,2021-09-29T13.36.30.873,0.021,-0.628,0.685,0.489
1.63E+12,2021-09-29T13.36.30.879,0.027,-0.629,0.685,0.492
1.63E+12,2021-09-29T13.36.30.883,0.031,-0.63,0.687,0.493
1.63E+12,2021-09-29T13.36.30.888,0.036,-0.63,0.687,0.489
1.63E+12,2021-09-29T13.36.30.893,0.041,-0.631,0.684,0.49
1.63E+12,2021-09-29T13.36.30.898,0.046,-0.629,0.687,0.494
1.63E+12,2021-09-29T13.36.30.904,0.052,-0.63,0.689,0.493
1.63E+12,2021-09-29T13.36.30.908,0.056,-0.629,0.687,0.492
1.63E+12,2021-09-29T13.36.30.914,0.062,-0.63,0.687,0.491
1.63E+12,2021-09-29T13.36.30.918,0.066,-0.626,0.691,0.495
1.63E+12,2021-09-29T13.36.30.923,0.071,-0.625,0.692,0.492
1.63E+12,2021-09-29T13.36.30.929,0.077,-0.63,0.692,0.492
1.63E+12,2021-09-29T13.36.30.934,0.082,-0.627,0.69,0.49
1.63E+12,2021-09-29T13.36.30.939,0.087,-0.627,0.689,0.487
1.63E+12,2021-09-29T13.36.30.943,0.091,-0.626,0.69,0.491
1.63E+12,2021-09-29T13.36.30.949,0.097,-0.626,0.688,0.494
1.63E+12,2021-09-29T13.36.30.953,0.101,-0.624,0.691,0.493
1.63E+12,2021-09-29T13.36.30.959,0.107,-0.625,0.689,0.491
1.63E+12,2021-09-29T13.36.30.964,0.112,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.30.968,0.116,-0.631,0.688,0.49
1.63E+12,2021-09-29T13.36.30.974,0.122,-0.632,0.687,0.49
1.63E+12,2021-09-29T13.36.30.978,0.126,-0.632,0.684,0.494
1.63E+12,2021-09-29T13.36.30.984,0.132,-0.628,0.688,0.5
1.63E+12,2021-09-29T13.36.30.989,0.137,-0.629,0.69,0.503
1.63E+12,2021-09-29T13.36.30.994,0.142,-0.631,0.687,0.504
1.63E+12,2021-09-29T13.36.30.999,0.147,-0.628,0.69,0.503
1.63E+12,2021-09-29T13.36.31.003,0.151,-0.628,0.688,0.507
1.63E+12,2021-09-29T13.36.31.009,0.157,-0.628,0.689,0.506
1.63E+12,2021-09-29T13.36.31.014,0.162,-0.627,0.691,0.505
1.63E+12,2021-09-29T13.36.31.019,0.167,-0.626,0.691,0.505
1.63E+12,2021-09-29T13.36.31.024,0.172,-0.627,0.69,0.5
1.63E+12,2021-09-29T13.36.31.030,0.178,-0.626,0.693,0.496
1.63E+12,2021-09-29T13.36.31.034,0.182,-0.626,0.69,0.496
1.63E+12,2021-09-29T13.36.31.038,0.186,-0.628,0.688,0.493
1.63E+12,2021-09-29T13.36.31.044,0.192,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.31.049,0.197,-0.625,0.691,0.495
1.63E+12,2021-09-29T13.36.31.055,0.203,-0.632,0.686,0.497
1.63E+12,2021-09-29T13.36.31.059,0.207,-0.632,0.684,0.495
1.63E+12,2021-09-29T13.36.31.065,0.213,-0.632,0.688,0.494
1.63E+12,2021-09-29T13.36.31.069,0.217,-0.631,0.687,0.495
1.63E+12,2021-09-29T13.36.31.075,0.223,-0.629,0.683,0.496
1.63E+12,2021-09-29T13.36.31.079,0.227,-0.631,0.685,0.499
1.63E+12,2021-09-29T13.36.31.084,0.232,-0.63,0.686,0.5
1.63E+12,2021-09-29T13.36.31.090,0.238,-0.633,0.686,0.5
1.63E+12,2021-09-29T13.36.31.094,0.242,-0.631,0.683,0.5
1.63E+12,2021-09-29T13.36.31.100,0.248,-0.63,0.686,0.499
1.63E+12,2021-09-29T13.36.31.104,0.252,-0.63,0.685,0.498
1.63E+12,2021-09-29T13.36.31.110,0.258,-0.629,0.688,0.497
1.63E+12,2021-09-29T13.36.31.115,0.263,-0.627,0.691,0.495
1.63E+12,2021-09-29T13.36.31.119,0.267,-0.626,0.688,0.494
1.63E+12,2021-09-29T13.36.31.125,0.273,-0.625,0.688,0.489
1.63E+12,2021-09-29T13.36.31.129,0.277,-0.625,0.689,0.483
1.63E+12,2021-09-29T13.36.31.135,0.283,-0.627,0.691,0.482
1.63E+12,2021-09-29T13.36.31.140,0.288,-0.627,0.688,0.485
1.63E+12,2021-09-29T13.36.31.145,0.293,-0.626,0.69,0.484
1.63E+12,2021-09-29T13.36.31.150,0.298,-0.625,0.69,0.488
1.63E+12,2021-09-29T13.36.31.154,0.302,-0.627,0.689,0.489
1.63E+12,2021-09-29T13.36.31.160,0.308,-0.631,0.69,0.491
1.63E+12,2021-09-29T13.36.31.164,0.312,-0.628,0.688,0.494
1.63E+12,2021-09-29T13.36.31.170,0.318,-0.628,0.687,0.499
1.63E+12,2021-09-29T13.36.31.175,0.323,-0.629,0.688,0.498
1.63E+12,2021-09-29T13.36.31.181,0.329,-0.63,0.688,0.494
1.63E+12,2021-09-29T13.36.31.185,0.333,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.31.189,0.337,-0.625,0.687,0.491
1.63E+12,2021-09-29T13.36.31.195,0.343,-0.628,0.689,0.489
1.63E+12,2021-09-29T13.36.31.200,0.348,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.31.205,0.353,-0.627,0.686,0.488
1.63E+12,2021-09-29T13.36.31.211,0.359,-0.627,0.688,0.49
1.63E+12,2021-09-29T13.36.31.216,0.364,-0.627,0.688,0.49
1.63E+12,2021-09-29T13.36.31.220,0.368,-0.629,0.691,0.494
1.63E+12,2021-09-29T13.36.31.226,0.374,-0.629,0.689,0.49
1.63E+12,2021-09-29T13.36.31.230,0.378,-0.628,0.687,0.494
1.63E+12,2021-09-29T13.36.31.235,0.383,-0.628,0.69,0.492
1.63E+12,2021-09-29T13.36.31.241,0.389,-0.627,0.689,0.494
1.63E+12,2021-09-29T13.36.31.245,0.393,-0.633,0.689,0.496
1.63E+12,2021-09-29T13.36.31.251,0.399,-0.631,0.686,0.496
1.63E+12,2021-09-29T13.36.31.255,0.403,-0.63,0.688,0.501
1.63E+12,2021-09-29T13.36.31.261,0.409,-0.626,0.687,0.496
1.63E+12,2021-09-29T13.36.31.265,0.413,-0.627,0.686,0.496
1.63E+12,2021-09-29T13.36.31.270,0.418,-0.63,0.686,0.496
1.63E+12,2021-09-29T13.36.31.276,0.424,-0.629,0.688,0.491
1.63E+12,2021-09-29T13.36.31.280,0.428,-0.63,0.687,0.493
1.63E+12,2021-09-29T13.36.31.286,0.434,-0.63,0.685,0.493
1.63E+12,2021-09-29T13.36.31.290,0.438,-0.629,0.687,0.496
1.63E+12,2021-09-29T13.36.31.296,0.444,-0.631,0.684,0.497
