Elapsed Time (s),Velocity No Drift (m/s)
0.0,0.0
0.006,-0.000432
0.011,-0.0006154802999999997
0.017,-0.0009003805499999999
0.021,-0.0010118608499999995
0.027,-0.0013261810499999992
0.031,-0.0012611416499999988
0.036,-0.0013465554499999988
0.041,-0.001559455699999999
0.046,-0.0017233226999999987
0.052,-0.0017630566999999983
0.056,-0.0016391773999999987
0.062,-0.0018358177999999977
0.066,-0.0018296182999999987
0.071,-0.0018365788999999974
0.077,-0.0019743793999999976
0.082,-0.0019813399999999972
0.087,-0.002145206999999996
0.091,-0.002384173749999997
0.097,-0.0026200407499999967
0.101,-0.002437321549999996
0.107,-0.002594735349999995
0.112,-0.002660535849999996
0.116,-0.002752402849999996
0.122,-0.003027496449999994
0.126,-0.0030801368499999955
0.132,-0.0031983240499999952
0.137,-0.0027345654499999934
0.142,-0.0022610001999999914
0.147,-0.0017384016999999943
0.151,-0.001192836449999993
0.157,-0.000801077849999993
0.162,1.572015000000926e-05
0.167,0.0005873519000000101
0.172,0.0011589836500000145
0.178,0.0014134491500000096
0.182,0.0017138481500000111
0.186,0.0018181141500000116
0.192,0.0016607003500000127
0.197,0.001771419550000014
0.203,0.0017807188000000147
0.207,0.002139957700000016
0.213,0.0020609971000000137
0.217,0.002243716300000014
0.223,0.002164755700000017
0.227,0.0024651547000000135
0.232,0.0026151005000000158
0.238,0.002869566000000018
0.242,0.003405324600000016
0.248,0.0035224970000000203
0.252,0.003999415700000019
0.258,0.004038134900000021
0.263,0.0043253738000000215
0.267,0.0044786730500000205
0.273,0.004360485850000019
0.277,0.004249005550000018
0.283,0.0036993257500000203
0.288,0.0031039661500000225
0.293,0.002694932900000023
0.298,0.0022368664000000232
0.302,0.0020469329000000237
0.308,0.0017326127000000212
0.312,0.0017388122000000228
0.318,0.0016206250000000214
0.323,0.0020255437000000244
0.329,0.0021819427000000224
0.333,0.002364661900000023
0.337,0.0023512481000000224
0.343,0.002115381100000025
0.348,0.0019319008000000283
0.353,0.0017680338000000233
0.359,0.0014341003000000255
0.364,0.0013094599000000248
0.368,0.0012175929000000259
0.374,0.001099405700000028
0.378,0.0010467653000000299
0.383,0.0010005781000000276
0.389,0.0008627776000000309
0.393,0.0010454968000000314
0.399,0.0010057628000000318
0.403,0.0013061618000000316
0.409,0.0014625608000000366
0.413,0.0017629598000000295
0.418,0.001795225800000029
0.424,0.0018535583000000334
0.428,0.001859757800000035
0.434,0.0017023440000000362
0.438,0.0018262233000000405
0.444,0.001786489300000041
0.449,0.002073728200000041
0.453,0.00217799420000004
0.459,0.002216713400000042
0.463,0.0026936321000000443
0.469,0.0027323513000000535
0.474,0.0029607503000000437
0.479,0.0032872158000000484
0.484,0.0035156148000000526
0.488,0.0037179473000000587
0.494,0.0035997601000000573
0.498,0.0036647995000000516
0.504,0.00354661230000005
0.509,0.0034808118000000526
0.515,0.0031468783000000583
