epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635180703304,2021-10-25T12.51.43.304,0.000,-0.881,-0.175,0.522
1635180703309,2021-10-25T12.51.43.309,0.005,-0.889,-0.178,0.533
1635180703314,2021-10-25T12.51.43.314,0.010,-0.886,-0.178,0.533
1635180703320,2021-10-25T12.51.43.320,0.016,-0.889,-0.179,0.527
1635180703324,2021-10-25T12.51.43.324,0.020,-0.888,-0.181,0.527
1635180703330,2021-10-25T12.51.43.330,0.026,-0.889,-0.177,0.529
1635180703334,2021-10-25T12.51.43.334,0.030,-0.889,-0.181,0.529
1635180703339,2021-10-25T12.51.43.339,0.035,-0.886,-0.182,0.531
1635180703345,2021-10-25T12.51.43.345,0.041,-0.887,-0.179,0.529
1635180703349,2021-10-25T12.51.43.349,0.045,-0.888,-0.177,0.531
1635180703355,2021-10-25T12.51.43.355,0.051,-0.885,-0.180,0.530
1635180703359,2021-10-25T12.51.43.359,0.055,-0.888,-0.179,0.527
1635180703365,2021-10-25T12.51.43.365,0.061,-0.886,-0.179,0.526
1635180703369,2021-10-25T12.51.43.369,0.065,-0.887,-0.181,0.531
1635180703375,2021-10-25T12.51.43.375,0.071,-0.888,-0.183,0.531
1635180703380,2021-10-25T12.51.43.380,0.076,-0.891,-0.178,0.529
1635180703384,2021-10-25T12.51.43.384,0.080,-0.888,-0.181,0.528
1635180703390,2021-10-25T12.51.43.390,0.086,-0.888,-0.182,0.530
1635180703394,2021-10-25T12.51.43.394,0.090,-0.887,-0.179,0.530
1635180703400,2021-10-25T12.51.43.400,0.096,-0.887,-0.179,0.528
1635180703405,2021-10-25T12.51.43.405,0.101,-0.887,-0.182,0.531
1635180703410,2021-10-25T12.51.43.410,0.106,-0.886,-0.179,0.531
1635180703415,2021-10-25T12.51.43.415,0.111,-0.888,-0.179,0.529
1635180703421,2021-10-25T12.51.43.421,0.117,-0.890,-0.179,0.529
